t	h
1	24000.1
2.001	24000.6
3.002	24001.3
4.003	24002.3
5.003	24003.5
6.003	24004.9
7.003	24006.6
8.003	24008.3
9.004	24010.3
10.005	24012.3
11.006	24014.4
12.007	24016.7
13.008	24018.9
14.009	24021.3
15.01	24023.6
16.011	24026.1
17.011	24028.5
18.011	24030.9
19.011	24033.4
20.011	24035.9
21.011	24038.4
22.011	24040.9
23.011	24043.4
24.011	24045.9
25.011	24048.5
26.011	24051
27.011	24053.5
28.011	24056.1
29.011	24058.6
30.011	24061.1
31.011	24063.7
32.011	24066.2
33.012	24068.7
34.013	24071.3
35.014	24073.8
36.015	24076.4
37.016	24078.9
38.017	24081.5
39.018	24084
40.019	24086.5
41.02	24089.1
42.021	24091.6
43.022	24094.2
44.023	24096.7
45.024	24099.3
46.025	24101.8
47.026	24104.3
48.027	24106.9
49.028	24109.4
50.029	24112
51.03	24114.5
52.031	24117.1
53.032	24119.6
54.033	24122.2
55.034	24124.7
56.035	24127.2
57.036	24129.8
58.037	24132.3
59.038	24134.9
60.039	24137.4
61.04	24140
62.041	24142.5
63.042	24145
64.043	24147.6
65.043	24150.1
66.043	24152.7
67.043	24155.2
68.043	24157.8
69.043	24160.3
70.043	24162.8
71.043	24165.4
72.043	24167.9
73.043	24170.5
74.043	24173
75.043	24175.6
76.043	24178.1
77.043	24180.6
78.043	24183.2
79.043	24185.7
80.043	24188.3
81.043	24190.8
82.043	24193.3
83.043	24195.9
84.043	24198.4
85.043	24201
86.043	24203.5
87.043	24206.1
88.043	24208.6
89.043	24211.1
90.043	24213.7
91.043	24216.2
92.043	24218.8
93.043	24221.3
94.043	24223.9
95.043	24226.4
96.043	24228.9
97.043	24231.5
98.043	24234
99.043	24236.6
100.043	24239.1
101.043	24241.7
102.043	24244.2
103.043	24246.7
104.043	24249.3
105.043	24251.8
106.043	24254.4
107.043	24256.9
108.043	24259.5
109.043	24262
110.043	24264.5
111.043	24267.1
112.043	24269.6
113.043	24272.2
114.043	24274.7
115.043	24277.2
116.043	24279.8
117.043	24282.3
118.043	24284.9
119.043	24287.4
120.043	24290
121.043	24292.5
122.043	24295
123.043	24297.6
124.043	24300.1
125.043	24302.7
126.043	24305.2
127.043	24307.8
128.043	24310.3
129.043	24312.9
130.043	24315.4
131.043	24317.9
132.043	24320.5
133.043	24323
134.043	24325.6
135.043	24328.1
136.043	24330.7
137.043	24333.2
138.043	24335.7
139.043	24338.3
140.043	24340.8
141.043	24343.4
142.043	24345.9
143.043	24348.5
144.043	24351
145.043	24353.5
146.043	24356.1
147.043	24358.6
148.043	24361.2
149.043	24363.7
150.043	24366.3
151.043	24368.8
152.043	24371.3
153.043	24373.9
154.043	24376.4
155.043	24379
156.043	24381.5
157.043	24384.1
158.043	24386.6
159.043	24389.2
160.043	24391.7
161.043	24394.2
162.043	24396.8
163.043	24399.3
164.043	24401.9
165.043	24404.4
166.043	24407
167.043	24409.5
168.043	24412
169.043	24414.6
170.043	24417.1
171.043	24419.7
172.043	24422.2
173.043	24424.8
174.043	24427.3
175.043	24429.9
176.043	24432.4
177.043	24434.9
178.043	24437.5
179.043	24440
180.043	24442.6
181.043	24445.1
182.043	24447.7
183.043	24450.2
184.043	24452.8
185.043	24455.3
186.043	24457.8
187.043	24460.4
188.043	24462.9
189.043	24465.5
190.043	24468
191.043	24470.6
192.043	24473.1
193.043	24475.7
194.043	24478.2
195.043	24480.7
196.043	24483.3
197.043	24485.8
198.043	24488.4
199.043	24490.9
200.043	24493.5
201.043	24496
202.043	24498.6
203.043	24501.1
204.043	24503.7
205.043	24506.2
206.043	24508.7
207.043	24511.3
208.043	24513.8
209.043	24516.4
210.043	24518.9
211.043	24521.5
212.043	24524
213.043	24526.6
214.043	24529.1
215.043	24531.6
216.043	24534.2
217.043	24536.7
218.043	24539.3
219.043	24541.8
220.043	24544.4
221.043	24546.9
222.043	24549.5
223.043	24552
224.043	24554.6
225.043	24557.1
226.043	24559.6
227.043	24562.2
228.043	24564.7
229.043	24567.3
230.043	24569.8
